,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
71986,2021,LA,Louisiana,Vernon,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,26.7,,,22.8,30.6,48027,22115,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-93.18833 31.1028407)
71990,2021,LA,Louisiana,Jefferson,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,6.2,,,5.4,7.0,433688,22051,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-90.036231 29.5033)
71995,2021,LA,Louisiana,Lincoln,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6.4,,,5.7,7.3,48152,22061,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-92.6623026 32.6018231)
71997,2021,LA,Louisiana,Ouachita,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.8,,,6.0,7.7,158768,22073,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-92.1515814 32.480932)
71999,2021,LA,Louisiana,Calcasieu,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.6,6.9,205282,22019,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-93.3580154 30.2295588)
72003,2020,LA,Louisiana,Lincoln,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,78.4,,,75.4,81.2,48152,22061,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-92.6623026 32.6018231)
72006,2020,LA,Louisiana,Concordia,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,46.7,,,43.5,50.0,18376,22029,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-91.626315 31.4698053)
72017,2021,LA,Louisiana,Tangipahoa,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,5.0,,,4.3,5.7,135217,22105,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-90.4064899 30.6213483)
72025,2020,LA,Louisiana,Allen,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,38.2,,,36.9,39.6,22687,22003,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-92.8196052 30.6527435)
72028,2020,LA,Louisiana,Morehouse,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,19.2,,,14.8,23.8,25025,22067,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-91.8003988 32.8200082)
72032,2021,LA,Louisiana,Calcasieu,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.2,,,3.6,4.8,205282,22019,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-93.3580154 30.2295588)
72033,2020,LA,Louisiana,Tensas,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,32.1,,,25.6,39.0,4043,22107,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-91.342576 32.0014894)
72039,2021,LA,Louisiana,Franklin,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.6,,,6.8,8.4,19668,22041,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-91.6723711 32.1390764)
72043,2020,LA,Louisiana,St. Mary,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,80.5,,,78.7,82.5,48232,22101,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-91.4638037 29.6293488)
72047,2020,LA,Louisiana,Plaquemines,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,70.3,,,67.7,73.0,23303,22075,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-89.5760676 29.282447)
72049,2021,LA,Louisiana,Assumption,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.9,,,31.1,46.7,20689,22007,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-91.0652194 29.9032998)
72061,2021,LA,Louisiana,Bossier,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,16.2,,,14.0,18.8,129144,22015,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-93.6265609 32.6984813)
72063,2021,LA,Louisiana,Iberville,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,11.5,,,9.1,14.2,29824,22047,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-91.3658718 30.2706526)
72068,2021,LA,Louisiana,Natchitoches,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,42.4,,,34.6,50.5,37026,22069,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-93.0825461 31.7325086)
72069,2020,LA,Louisiana,St. James,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,38.9,,,37.6,40.1,19742,22093,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-90.7939562 30.0247772)
72086,2021,LA,Louisiana,St. Landry,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,,,5.4,6.7,82071,22097,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-91.9892745 30.5834409)
72087,2021,LA,Louisiana,St. Martin,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.2,,,2.9,3.5,51540,22099,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-91.6114814 30.1214329)
72092,2021,LA,Louisiana,East Baton Rouge,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.2,,,5.6,6.8,453301,22033,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-91.093131 30.5439297)
72099,2021,LA,Louisiana,Richland,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,20.3,,,17.7,23.0,19805,22083,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-91.7483534 32.413158)
72103,2020,LA,Louisiana,Rapides,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,15.2,,,11.1,19.9,128654,22079,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-92.5359531 31.1932037)
72110,2021,LA,Louisiana,St. Bernard,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,77.4,,,73.9,80.5,44258,22087,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-89.2634941 29.9181102)
72112,2021,LA,Louisiana,Union,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,77.7,,,72.5,82.1,21091,22111,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-92.3756501 32.8293486)
72114,2021,LA,Louisiana,Tensas,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.7,,,84.3,89.1,4043,22107,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-91.342576 32.0014894)
72118,2021,LA,Louisiana,Madison,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,12.2,,,10.8,13.9,9799,22065,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-91.2319321 32.3468782)
72127,2021,LA,Louisiana,De Soto,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,11.7,,,10.2,13.3,26919,22031,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-93.7407968 32.0592476)
72132,2021,LA,Louisiana,Evangeline,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,38.9,,,33.4,44.9,32215,22039,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-92.4040858 30.7206932)
72135,2021,LA,Louisiana,St. John the Baptist,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,26.2,,,22.4,30.4,42094,22095,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-90.4909596 30.1440682)
72136,2021,LA,Louisiana,East Carroll,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,79.6,,,74.4,84.0,7220,22035,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-91.2341409 32.7301699)
72139,2021,LA,Louisiana,West Carroll,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,12.6,,,10.0,15.5,9594,22123,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-91.4519982 32.7924797)
72141,2021,LA,Louisiana,Cameron,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,15.1,,,12.8,17.6,5080,22023,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-93.1649478 29.871812)
72148,2021,LA,Louisiana,Grant,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.7,,,10.8,14.8,22236,22043,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-92.5617156 31.5977873)
72151,2021,LA,Louisiana,Claiborne,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,29.3,,,24.8,34.5,14038,22027,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-92.9897278 32.8271597)
72152,2021,LA,Louisiana,West Baton Rouge,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,17.6,,,15.3,20.0,27792,22121,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-91.309808 30.4640516)
72158,2020,LA,Louisiana,Winn,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,80.3,,,77.8,82.8,13488,22127,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-92.6412694 31.9411871)
72161,2021,LA,Louisiana,Jefferson Davis,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,19.9,,,17.0,23.4,32345,22053,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-92.8162205 30.2695293)
72162,2021,LA,Louisiana,East Feliciana,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.6,,,3.2,4.0,19338,22037,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-91.0434338 30.8397837)
72163,2020,LA,Louisiana,Rapides,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,36.9,,,35.5,38.1,128654,22079,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-92.5359531 31.1932037)
72164,2021,LA,Louisiana,Assumption,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,22.8,,,19.8,25.9,20689,22007,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-91.0652194 29.9032998)
72168,2021,LA,Louisiana,Caldwell,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,63.6,,,58.5,68.6,9571,22021,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-92.1142311 32.1012195)
72170,2021,LA,Louisiana,West Baton Rouge,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.3,,,3.0,3.6,27792,22121,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-91.309808 30.4640516)
72175,2021,LA,Louisiana,St. Mary,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,18.8,,,16.6,21.3,48232,22101,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-91.4638037 29.6293488)
72189,2021,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,8.1,,,7.0,9.2,57288,22001,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-92.4110366 30.291497)
72193,2021,LA,Louisiana,Tangipahoa,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,21.9,,,18.0,26.4,135217,22105,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-90.4064899 30.6213483)
72195,2021,LA,Louisiana,St. Landry,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,78.9,,,74.5,82.9,82071,22097,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-91.9892745 30.5834409)
72205,2021,LA,Louisiana,Pointe Coupee,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,82.5,,,79.7,84.9,20356,22077,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-91.6046207 30.708319)
72206,2021,LA,Louisiana,Morehouse,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,29.2,,,25.4,33.0,25025,22067,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-91.8003988 32.8200082)
72207,2021,LA,Louisiana,St. Mary,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,25.5,,,21.9,29.4,48232,22101,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-91.4638037 29.6293488)
72222,2021,LA,Louisiana,St. Tammany,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.2,,,2.9,3.6,269388,22103,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-89.9519622 30.4100224)
72227,2021,LA,Louisiana,East Baton Rouge,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.5,,,16.0,21.3,453301,22033,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-91.093131 30.5439297)
72229,2021,LA,Louisiana,St. John the Baptist,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,13.4,,,11.6,15.5,42094,22095,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-90.4909596 30.1440682)
72230,2021,LA,Louisiana,Evangeline,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.3,,,9.9,12.8,32215,22039,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-92.4040858 30.7206932)
72231,2021,LA,Louisiana,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.0,,,20.8,27.6,14876,22049,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-92.5616997 32.3042901)
72232,2020,LA,Louisiana,Richland,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,69.1,,,66.5,71.7,19805,22083,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-91.7483534 32.413158)
72234,2021,LA,Louisiana,Lincoln,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.1,,,32.3,48.3,48152,22061,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-92.6623026 32.6018231)
72239,2020,LA,Louisiana,Claiborne,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,79.5,,,77.3,81.6,14038,22027,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-92.9897278 32.8271597)
72242,2020,LA,Louisiana,West Carroll,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,66.4,,,63.3,69.6,9594,22123,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-91.4519982 32.7924797)
72244,2020,LA,Louisiana,Sabine,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,37.0,,,29.7,45.0,22135,22085,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-93.5595793 31.5604024)
72248,2020,LA,Louisiana,West Feliciana,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,39.4,,,32.2,47.0,15494,22125,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-91.421776 30.8733639)
72251,2021,LA,Louisiana,Plaquemines,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.9,3.4,23303,22075,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-89.5760676 29.282447)
72255,2020,LA,Louisiana,Iberia,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,80.6,,,78.3,82.7,68975,22045,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-91.8427057 29.6060126)
72256,2021,LA,Louisiana,Terrebonne,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.5,,,11.6,15.5,108708,22109,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-90.8436739 29.3341299)
72267,2020,LA,Louisiana,West Baton Rouge,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,40.8,,,33.7,47.7,27792,22121,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-91.309808 30.4640516)
72268,2021,LA,Louisiana,Claiborne,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,32.9,,,28.4,37.3,14038,22027,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-92.9897278 32.8271597)
72269,2020,LA,Louisiana,Beauregard,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,56.9,,,53.1,60.5,36584,22011,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-93.3402526 30.6450184)
72274,2020,LA,Louisiana,St. Tammany,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,73.7,,,70.6,76.8,269388,22103,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-89.9519622 30.4100224)
72275,2021,LA,Louisiana,Grant,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,23.6,,,19.4,28.1,22236,22043,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-92.5617156 31.5977873)
72277,2020,LA,Louisiana,Concordia,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,39.2,,,37.8,40.5,18376,22029,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-91.626315 31.4698053)
72279,2020,LA,Louisiana,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,50.8,,,47.2,54.2,14876,22049,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-92.5616997 32.3042901)
72280,2020,LA,Louisiana,St. James,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,56.8,,,53.5,59.8,19742,22093,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-90.7939562 30.0247772)
72286,2021,LA,Louisiana,Richland,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,13.0,,,10.3,15.9,19805,22083,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-91.7483534 32.413158)
72295,2021,LA,Louisiana,Ascension,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,,,5.7,7.0,128369,22005,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-90.9125023 30.2064437)
72300,2021,LA,Louisiana,Bienville,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,29.2,,,25.2,33.8,12776,22013,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-93.0411511 32.3409517)
72304,2021,LA,Louisiana,Lafourche,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.4,,,6.4,8.5,97504,22057,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-90.394849 29.4919925)
72305,2020,LA,Louisiana,Red River,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,36.4,,,29.4,44.2,7564,22081,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-93.3490504 32.1012125)
72306,2021,LA,Louisiana,Union,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,40.3,,,35.0,45.3,21091,22111,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-92.3756501 32.8293486)
72307,2021,LA,Louisiana,Terrebonne,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.8,3.5,108708,22109,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-90.8436739 29.3341299)
72322,2021,LA,Louisiana,East Carroll,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,25.3,,,20.8,30.3,7220,22035,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-91.2341409 32.7301699)
72330,2020,LA,Louisiana,Vernon,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,33.7,,,27.6,40.3,48027,22115,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-93.18833 31.1028407)
72331,2021,LA,Louisiana,East Feliciana,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.9,,,25.5,34.1,19338,22037,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-91.0434338 30.8397837)
72335,2021,LA,Louisiana,Madison,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,12.2,,,10.8,13.9,9799,22065,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-91.2319321 32.3468782)
72336,2021,LA,Louisiana,LaSalle,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,10.9,,,8.4,14.1,14834,22059,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-92.1615956 31.6800826)
72343,2021,LA,Louisiana,Grant,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.3,,,6.4,8.4,22236,22043,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-92.5617156 31.5977873)
